UTC,tilt,azim
01/01/2014 00:00,35,90
01/01/2014 01:00,35,90
01/01/2014 02:00,35,90
01/01/2014 03:00,35,90
01/01/2014 04:00,35,90
01/01/2014 05:00,35,90
01/01/2014 06:00,35,90
01/01/2014 07:00,35,105
01/01/2014 08:00,35,120
01/01/2014 09:00,35,135
01/01/2014 10:00,35,150
01/01/2014 11:00,35,165
01/01/2014 12:00,35,180
01/01/2014 13:00,35,195
01/01/2014 14:00,35,210
01/01/2014 15:00,35,225
01/01/2014 16:00,35,240
01/01/2014 17:00,35,255
01/01/2014 18:00,35,270
01/01/2014 19:00,35,270
01/01/2014 20:00,35,270
01/01/2014 21:00,35,270
01/01/2014 22:00,35,270
01/01/2014 23:00,35,270
02/01/2014 00:00,35,90
02/01/2014 01:00,35,90
02/01/2014 02:00,35,90
02/01/2014 03:00,35,90
02/01/2014 04:00,35,90
02/01/2014 05:00,35,90
02/01/2014 06:00,35,90
02/01/2014 07:00,35,105
02/01/2014 08:00,35,120
02/01/2014 09:00,35,135
02/01/2014 10:00,35,150
02/01/2014 11:00,35,165
02/01/2014 12:00,35,180
02/01/2014 13:00,35,195
02/01/2014 14:00,35,210
02/01/2014 15:00,35,225
02/01/2014 16:00,35,240
02/01/2014 17:00,35,255
02/01/2014 18:00,35,270
02/01/2014 19:00,35,270
02/01/2014 20:00,35,270
02/01/2014 21:00,35,270
02/01/2014 22:00,35,270
02/01/2014 23:00,35,270
03/01/2014 00:00,35,90
03/01/2014 01:00,35,90
03/01/2014 02:00,35,90
03/01/2014 03:00,35,90
03/01/2014 04:00,35,90
03/01/2014 05:00,35,90
03/01/2014 06:00,35,90
03/01/2014 07:00,35,105
03/01/2014 08:00,35,120
03/01/2014 09:00,35,135
03/01/2014 10:00,35,150
03/01/2014 11:00,35,165
03/01/2014 12:00,35,180
03/01/2014 13:00,35,195
03/01/2014 14:00,35,210
03/01/2014 15:00,35,225
03/01/2014 16:00,35,240
03/01/2014 17:00,35,255
03/01/2014 18:00,35,270
03/01/2014 19:00,35,270
03/01/2014 20:00,35,270
03/01/2014 21:00,35,270
03/01/2014 22:00,35,270
03/01/2014 23:00,35,270
04/01/2014 00:00,35,90
04/01/2014 01:00,35,90
04/01/2014 02:00,35,90
04/01/2014 03:00,35,90
04/01/2014 04:00,35,90
04/01/2014 05:00,35,90
04/01/2014 06:00,35,90
04/01/2014 07:00,35,105
04/01/2014 08:00,35,120
